id,geo_score
26674,4.48
204314,4.48
176521,5.17
48812,-2.41
126870,6.55
213392,6.55
136738,-0.34
48368,6.55
126830,-4.48
91929,10.0
23951,1.72
25234,3.79
231696,7.93
48529,10.0
172118,5.86
214944,
31048,9.31
208416,6.549999999999999
94912,0.5100000000000005
119939,12.870000000000001
233257,-3.1
177231,-1.72
135294,7.93
97598,-4.48
208332,8.62
125845,5.86
129075,2.41
240405,-11.4
67868,-0.34
187239,-7.24
55418,15.459999999999999
99828,-3.79
277582,1.03
251817,-1.72
25195,-7.93
47243,-7.24
32266,
9811,-18.29
138442,-3.79
204374,5.86
83633,-2.629999999999999
187546,8.62
170927,-7.24
118175,5.17
23387,2.41
5313,-3.1
256205,-7.93
219935,
153081,-10.0
229490,0.34
62415,-1.72
57052,
169117,4.48
18882,13.07
74038,10.0
111901,23.31
65696,17.299999999999997
235829,-3.1
255953,1.03
100179,4.48
93525,4.48
148710,-10.0
42038,-4.189999999999999
142429,24.5
242603,-0.4000000000000002
18570,4.48
227736,-4.359999999999999
244300,-7.24
229509,-8.62
216004,6.55
252766,19.52
80177,
124058,-3.8199999999999994
16637,5.86
214369,3.5699999999999994
133063,
201595,6.55
232072,9.31
264593,-5.17
150578,4.48
156409,-3.1
264445,5.17
163918,-2.41
91704,-5.17
190786,
177963,-1.72
193113,3.79
196186,-7.780000000000001
94678,-6.55
166311,5.539999999999999
37296,12.770000000000001
264704,
221537,-4.48
259087,-2.72
226157,-7.93
145498,5.17
9669,-7.3
130973,2.41
158439,-27.0
33610,1.03
165820,-14.35
168632,-5.1499999999999995
81986,8.62
226071,6.55
161786,4.610000000000001
207739,4.48
260670,-5.17
253799,7.24
265465,8.62
131888,0.1499999999999999
75573,5.17
132174,-4.049999999999998
127297,-0.49999999999999944
183886,
231900,10.0
72740,6.55
70663,-5.86
20745,-5.17
228950,-3.1
213352,8.62
154170,8.62
262672,10.0
234596,3.1
76103,4.1
18062,10.0
68548,10.0
17652,-7.24
146976,
3537,-1.03
34161,19.319999999999997
86206,-7.93
244607,-5.86
192659,7.24
278207,7.24
191521,4.48
190247,-1.72
140551,1.03
196365,-6.55
137387,
260898,-8.62
243851,-5.17
56221,10.0
43478,-0.34
110384,-5.17
36854,6.55
258452,-3.1
120842,6.55
148803,-37.89
259151,-1.6500000000000006
19781,-10.0
131200,-5.17
37245,-9.31
46022,-3.79
237190,-0.34
79167,3.1
129421,-5.17
140424,1.7600000000000005
35093,3.1
181333,1.03
245925,-7.93
102016,-0.34
140817,-1.03
186433,7.93
