id,qsets_normalized_tat
9983,2.41
266000,3.1
77525,1.03
160765,-11.63
138220,-4.48
53869,5.86
145189,-32.97
122291,3.79
249962,-3.1
138625,2.41
227024,-10.0
13492,-5.17
239554,2.41
62445,0.34
28166,1.72
256223,9.31
184330,
105966,
146354,
138022,-21.52
24974,10.0
43474,14.96
186634,-3.79
187526,5.17
171254,8.24
109283,2.41
35698,21.11
224680,10.0
218506,2.41
170896,
56262,7.24
176993,10.0
115391,1.03
202860,-5.17
243403,8.62
32291,5.17
106828,4.48
165365,
107534,-5.86
131852,7.24
75893,1.03
8145,-3.1
268257,-4.48
161627,
105056,-11.479999999999999
73891,-1.03
94401,-5.86
103913,-10.0
247843,8.070000000000002
101533,-1.03
110382,
254695,-4.48
212177,9.31
190655,-3.1
227942,-1.72
206205,-8.62
255903,4.970000000000001
16038,-10.0
64193,-7.93
153523,-8.62
155674,0.34
26437,4.48
181816,-3.1
122636,-19.22
219605,7.67
16753,-4.48
276568,-10.0
79168,6.45
275099,-4.48
81201,-7.93
234416,-7.24
138801,-5.17
269768,-6.55
6556,-11.77
170019,-6.460000000000001
236378,
226496,-12.230000000000004
166152,
238345,
173111,-2.41
123441,-10.0
149332,-2.41
268323,1.5999999999999999
215446,5.86
109988,11.21
185148,-13.49
51397,-5.17
265592,-6.55
131821,
92099,-3.1
16465,12.32
78873,8.62
51827,2.41
232223,8.62
67815,-7.24
259548,8.62
114791,-17.56
40844,-10.0
194416,
162448,6.55
84435,2.0700000000000007
150329,7.93
128962,-10.0
181496,9.31
3649,8.62
139062,7.93
278451,-1.03
149554,7.24
279519,-6.55
124025,-3.579999999999999
88750,-1.9600000000000002
120812,-10.0
198382,-3.79
29703,-6.55
51195,10.0
944,-0.34
64454,8.62
10038,-7.93
22854,9.28
62193,-1.72
61154,-1.03
44315,-2.41
42367,8.62
17597,-9.31
85985,-1.03
74932,2.41
80435,2.41
218431,1.03
257673,18.95
46330,-3.1
155256,
253386,-3.75
181152,5.86
259540,7.93
165107,-7.93
259273,-2.41
193728,-1.7000000000000002
67035,-10.65
219634,-7.24
248621,-8.62
62915,2.41
234341,6.17
168222,-8.65
5573,
254883,-2.41
126693,-18.53
106130,-5.540000000000001
129193,
248887,-3.79
386,13.73
23941,-7.24
43803,2.41
32180,-2.41
24645,6.55
92810,0.34
35456,-20.32
219328,
22124,-7.24
41864,7.93
72482,-4.48
167806,
3563,-5.86
273438,-7.24
207745,-9.31
236232,9.31
76583,-8.21
109523,-7.93
212479,-2.41
263661,-0.34
78070,7.93
194175,-10.0
220709,-9.31
245280,-5.86
163438,-10.0
157396,-3.79
222202,-3.79
273842,-2.41
240607,12.179999999999998
70317,-9.31
151283,9.31
60367,-5.05
186457,-9.31
267524,6.24
69677,
4043,-9.31
30894,-5.86
240645,2.41
235452,-3.1
7990,5.17
173494,-8.62
243335,
29475,5.17
151224,8.62
53435,1.03
103120,
80518,1.72
194514,-4.48
49905,4.48
124892,-4.48
156415,-9.31
200902,
30979,5.17
23969,2.41
157628,-3.1
60852,-1.03
88059,-7.24
269888,8.62
254088,-7.24
219922,1.72
38610,5.17
266610,-5.86
151136,
274107,4.48
148912,-5.17
275520,-3.1
120653,-0.34
132130,4.48
156370,
218305,0.34
165647,17.79
59973,-3.1
41154,1.72
149474,-1.72
88013,-7.93
54269,1.03
276676,2.41
284631,
270126,4.48
199906,
227501,
189502,3.1
135131,-6.55
138252,-8.62
29252,1.72
44866,1.72
78036,0.4500000000000003
259736,-21.86
3017,9.31
135250,9.31
24240,-18.73
13510,-5.17
212229,5.66
233722,-0.34
203067,3.79
172090,-7.93
144004,9.31
168173,-0.34
190263,3.79
217461,10.0
209745,5.14
95067,-19.59
140136,2.41
101252,
34442,-16.17
42549,7.24
277286,-4.48
55604,1.4799999999999998
105747,1.72
40573,7.93
168381,9.31
145634,1.72
155296,10.0
99428,6.55
107721,5.86
284779,-7.24
158870,6.55
39372,-1.72
30870,-2.41
123825,-0.47
12084,-12.920000000000002
152666,10.0
171311,
110727,-9.040000000000001
193936,10.0
204330,9.61
172542,-5.819999999999999
147737,-5.17
284436,-4.2700000000000005
202415,-3.79
22758,7.93
15522,3.79
133403,3.1
279599,
283270,-18.08
20222,-9.31
262094,6.55
160786,-0.34
164435,-1.72
66066,-7.7
205288,-10.0
48581,-5.17
18370,-5.86
38538,9.31
156684,-2.0500000000000007
19116,-2.3499999999999996
214305,-7.76
164945,-8.62
11327,-11.07
17427,-5.86
80879,
171976,9.31
125950,3.4200000000000004
145333,-9.31
242555,5.840000000000001
157980,-6.55
47614,9.31
125911,5.86
51482,14.09
97824,-1.03
118253,
247037,
55327,2.41
84324,3.1
79714,-3.79
131340,
228900,5.17
39005,9.31
63200,-9.31
204930,-2.41
105024,10.0
194348,6.55
60945,-7.24
166925,-1.72
5372,3.79
121231,-12.27
124272,2.41
257081,4.48
45356,5.17
58670,-6.55
151361,5.6
228396,-3.79
77243,
149149,2.41
137701,-1.72
247889,-0.34
164532,7.24
77536,-0.34
80964,-1.72
198608,6.55
264319,-5.17
205378,5.17
131788,-3.1
182412,1.72
2366,-3.79
145284,-6.030000000000001
267046,-1.72
236961,-5.17
22257,-7.24
171760,3.21
267244,-3.1
213230,9.31
271390,3.79
166809,3.79
233174,-5.17
221709,4.48
48003,6.790000000000001
159176,0.5000000000000004
145203,4.48
143999,-2.41
136891,3.1
35325,1.609999999999999
213637,-26.13
16850,5.17
96141,9.31
85232,1.03
94893,-1.72
150832,-6.55
214780,-4.48
128119,4.68
72406,6.55
224886,-7.93
202719,7.93
76364,-8.999999999999998
212197,9.31
184815,7.24
264158,15.98
142284,-1.03
59600,8.62
39223,5.86
117603,5.17
216371,-1.03
134147,8.62
197868,-7.93
76839,0.34
12913,-5.17
186130,-1.72
209430,3.79
241691,4.560000000000001
176359,-7.93
274787,-4.48
91849,3.1
138009,-1.5699999999999994
190572,-8.56
163267,-8.62
114416,-5.17
82927,-4.48
152753,2.41
233580,-2.41
163006,6.55
39733,-5.86
251169,7.24
192475,3.1
264863,2.41
164086,-14.26
180419,-0.32000000000000073
236616,-3.79
55535,-2.41
201398,
235872,7.24
69635,-7.93
263096,0.34
107095,6.55
201284,-3.1
200853,9.31
215733,5.86
77660,14.0
229637,3.1
110202,-1.03
257301,-8.62
250545,-2.41
43206,8.62
111568,5.17
56193,5.86
156068,5.86
72392,-5.86
221220,9.31
176785,-2.41
124767,7.93
100518,7.24
37241,-0.6999999999999997
181312,-3.79
120309,5.86
144884,-16.63
128470,-1.2400000000000004
226694,3.79
35497,10.0
255112,5.17
91586,-5.17
222192,-2.7600000000000007
11941,
199223,
3946,-10.0
234942,-3.79
191870,1.03
87660,-1.03
71588,3.1
240570,1.72
81127,7.24
245625,1.03
123461,7.24
179549,-5.190000000000003
113076,6.55
159553,-3.1
53977,3.79
250243,-0.34
137580,3.79
141528,-12.879999999999999
89165,3.1
214567,1.03
184675,
215980,1.72
224734,-6.55
30026,-3.5599999999999996
141450,-5.17
8245,-1.72
21188,-4.48
7852,8.62
151140,
38544,-4.560000000000001
121696,3.1
239592,-10.0
54863,-5.17
146092,-7.93
236803,7.93
254194,-3.6900000000000004
172188,-4.48
57963,11.76
185464,21.189999999999998
174047,
284645,-5.86
263380,-7.24
283027,12.860000000000003
276529,-1.03
255520,6.55
86071,7.93
277787,-6.090000000000001
31567,-12.48
236040,-18.04
194300,9.9
207696,-5.86
90035,-0.34
30246,7.21
214183,10.0
183047,-5.86
74108,9.31
131387,5.17
39411,10.0
3933,7.24
270362,
158824,-7.93
82601,5.17
210081,-5.17
52843,8.34
135940,-0.34
128321,6.55
226614,-7.93
